Victoria,Puntos,Ticks Norm
0.0,0.0,0.949
0.0,0.0,0.9795
0.0,0.0,0.933
0.0,0.0,0.927
0.0,0.0,0.95
0.0,0.0,0.9475
0.0,0.0,0.9105
0.0,0.0,0.945
0.0,0.0,0.9565
0.0,0.0,0.9335
0.0,0.0,0.9275
0.0,0.0,0.9410000000000001
0.0,0.0,0.9445
0.0,0.0,0.9545
0.0,0.0,0.955
0.0,0.0,0.9845
0.0,0.0,0.9585
0.0,0.0,0.951
0.0,0.0,0.9135
0.0,0.0,0.9275
0.0,0.0,0.9145
0.0,0.0,0.9215
0.0,0.0,0.937
0.0,0.0,0.9685
0.0,0.0,0.955
0.0,0.0,0.9775
0.0,0.0,0.9185
0.0,0.0,0.935
0.0,0.0,0.98
0.0,0.0,0.96
0.0,0.0,0.946
0.0,0.0,0.947
0.0,0.0,0.981
0.0,0.0,0.9445
0.0,0.0,0.901
0.0,0.0,0.9215
0.0,0.0,0.9125
0.0,0.0,0.965
0.0,0.0,0.944
0.0,7.0,0.951
0.0,0.0,0.9255
0.0,0.0,0.9525
0.0,0.0,0.9635
0.0,0.0,0.9795
0.0,0.0,0.956
0.0,0.0,0.918
0.0,7.0,0.935
0.0,0.0,0.965
0.0,0.0,0.9495
0.0,0.0,0.9625
0.0,0.0,0.923
0.0,0.0,0.9655
0.0,0.0,0.9805
0.0,0.0,0.946
0.0,0.0,0.935
0.0,0.0,0.9339999999999999
0.0,0.0,0.918
0.0,0.0,0.9535
0.0,0.0,0.9165
0.0,0.0,0.964
0.0,0.0,0.948
0.0,0.0,0.962
0.0,0.0,0.96
0.0,0.0,0.9505
0.0,0.0,0.9535
0.0,5.0,0.8614999999999999
0.0,0.0,0.952
0.0,0.0,0.9195
0.0,0.0,0.9455
0.0,0.0,0.9395
0.0,0.0,0.9299999999999999
0.0,0.0,0.9390000000000001
0.0,0.0,0.9565
0.0,0.0,0.9625
0.0,3.0,0.9665
0.0,0.0,0.9345
0.0,0.0,0.942
0.0,0.0,0.9455
0.0,0.0,0.9315
0.0,0.0,0.935
0.0,0.0,0.9665
0.0,0.0,0.9415
0.0,0.0,0.9215
0.0,0.0,0.9285
0.0,0.0,0.966
0.0,0.0,0.9755
0.0,1.0,0.878
0.0,0.0,0.9345
0.0,0.0,0.9455
0.0,0.0,0.951
0.0,0.0,0.978
0.0,0.0,0.976
0.0,0.0,0.978
0.0,0.0,0.9645
0.0,0.0,0.962
0.0,0.0,0.9825
0.0,1058.0,0.7355
0.0,0.0,0.9505
0.0,0.0,0.9765
0.0,0.0,0.9535
0.0,1.0,0.8775
0.0,0.0,0.9475
0.0,0.0,0.982
0.0,0.0,0.919
0.0,0.0,0.9465
0.0,0.0,0.9535
0.0,0.0,0.877
0.0,0.0,0.9339999999999999
0.0,0.0,0.9135
0.0,0.0,0.9055
0.0,0.0,0.915
0.0,0.0,0.9795
0.0,0.0,0.9195
0.0,0.0,0.9505
0.0,0.0,0.9205
0.0,0.0,0.9315
0.0,0.0,0.9465
0.0,0.0,0.9345
